"playername","playername2","Sackmann_playername","Sackmann_id"
"Guez D.","guez d","David Guez","104095"
"Gulbis E.","gulbis e","Ernests Gulbis","105208"
"Gumy H.","gumy h","Hernan Gumy","102024"
"Gustafsson M.","gustafsson m","Magnus Gustafsson","101320"
"Gutierrez-Ferrol S.","gutierrez ferrol s","Sergio Gutierrez Ferrol","105300"
"Guzman J.","guzman j","Juan Pablo Guzman","103700"
"Guzman J.P.","guzman j p","Juan Pablo Guzman","103700"
"Haas T.","haas t","Tommy Haas","103163"
"Haase R.","haase r","Robin Haase","104898"
"Hadad A.","hadad a","Amir Hadad","103145"
"Hadad M.","hadad m","Mauricio Hadad","101991"
"Haehnel J.","haehnel j","Jerome Haehnel","103592"
"Haider-Mauer A.","haider maurer a","Andreas Haider Maurer","104890"
"Haider-Maurer A.","haider maurer a","Andreas Haider Maurer","104890"
"Hajek J.","hajek j","Jan Hajek","104225"
"Haji A.","hajji a","Abdulla Hajji","108993"
"Hajji A.","hajji a","Abdulla Hajji","108993"
"Halys Q.","halys q","Quentin Halys","111460"
"Hamou M.","hamou m","Maxime Hamou","111506"
"Hanescu V.","hanescu v","Victor Hanescu","103812"
"Hanescu V. ","hanescu v","Victor Hanescu","103812"
