"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Bohaboy D.",1488.52146314132,1,1487.90418006242,1,1500,0,1500,0,1500,0,"USA","R"
"Shvec A.",1494.57472718489,1,1490.89433536649,1,1500,0,1500,0,1500,0,"BLR","R"
"Khalfan S.",1470.27455659475,3,1467.12327376079,3,1500,0,1500,0,1500,0,"QAT","R"
"Rea S.",1480.14912580643,2,1479.86360676937,2,1500,0,1500,0,1500,0,"GER","U"
"Durek R.",1490.11629205934,1,1489.87994298496,1,1500,0,1500,0,1500,0,"AUS","R"
"Henry R.",1487.30395727923,1,1488.18345320664,1,1500,0,1500,0,1500,0,"GBR","U"
"Peralta J.",1489.59359466733,1,1500,0,1500,0,1490.76478493664,1,1500,0,"PAN","U"
"Gallardo Valles M.",1487.68886963887,2,1500,0,1500,0,1488.50646889165,2,1500,0,"MEX","R"
"Norby R.",1488.41222271896,1,1487.89071197514,1,1500,0,1500,0,1500,0,"DEN","R"
"Gooding J.",1493.87938930102,1,1492.99682554526,1,1500,0,1500,0,1500,0,"AUS","R"
"Ouahabi T.",1491.20281575782,1,1500,0,1500,0,1490.73528617735,1,1500,0,"MAR","R"
"Lopes H.",1491.74869258767,1,1500,0,1500,0,1491.81405645819,1,1500,0,"POR","R"
"Mathieu P.",1484.52257720737,4,1493.31618187294,1,1496.52707616195,1,1487.7468158626,2,1500,0,"FRA","R"
"Weinzierl J.",1488.0525590967,1,1500,0,1500,0,1489.23542876413,1,1500,0,"GER","R"
"Delfino M.",1489.75511975053,1,1500,0,1500,0,1489.52293388112,1,1500,0,"ARG","R"
"Koderisch C.",1494.23946332621,1,1500,0,1489.66731188702,1,1500,0,1500,0,"GER","U"
"Logtens P.",1487.16188075697,2,1500,0,1480.48044956266,2,1500,0,1500,0,"NED","R"
"Moser F.",1484.81413484713,2,1489.7,1,1490.57390535988,1,1500,0,1500,0,"GER","R"
"Andersson H.",1489.33536584283,1,1500,0,1500,0,1489.7,1,1500,0,"SWE","R"
